(2/(5*(0*(6-6))))	(/2(*5(*0(-66))))	(2(5(0(66-)*)*)/)
((((7+1)-8)+(9/(6/1)))-((6-0)-1))	(-(+(-(+71)8)(/9(/61)))(-(-60)1))	((((71+)8-)(9(61/)/)+)((60-)1-)-)
((((9/8)+6)-(9-(7+3)))-((5/2)+(5/8)))	(-(-(+(/98)6)(-9(+73)))(+(/52)(/58)))	((((98/)6+)(9(73+)-)-)((52/)(58/)+)-)
((((0*5)/6)*(7+(7/6)))*((4*6)*(1-(9-5))))	(*(*(/(*05)6)(+7(/76)))(*(*46)(-1(-95))))	((((05*)6/)(7(76/)+)*)((46*)(1(95-)-)*)*)
((((5+5)*3)*(4+(5/1)))-((2-3)-((4/4)-3)))	(-(*(*(+55)3)(+4(/51)))(-(-23)(-(/44)3)))	((((55+)3*)(4(51/)+)*)((23-)((44/)3-)-)-)
((((5*1)*3)/(4+(8-5)))+((5+3)/((9*5)-(4-9))))	(+(/(*(*51)3)(+4(-85)))(/(+53)(-(*95)(-49))))	((((51*)3*)(4(85-)+)/)((53+)((95*)(49-)-)/)+)
((((7/0)*1)+(0+(6+2)))*((5*(1*8))+6))	(*(+(*(/70)1)(+0(+62)))(+(*5(*18))6))	((((70/)1*)(0(62+)+)+)((5(18*)*)6+)*)
((((4+8)/1)+(2+(3+7)))+((9*(3*8))+(9-6)))	(+(+(/(+48)1)(+2(+37)))(+(*9(*38))(-96)))	((((48+)1/)(2(37+)+)+)((9(38*)*)(96-)+)+)
((((0-7)/8)-(2+(9*4)))-((5-(5-8))/(4-(7/6))))	(-(-(/(-07)8)(+2(*94)))(/(-5(-58))(-4(/76))))	((((07-)8/)(2(94*)+)-)((5(58-)-)(4(76/)-)/)-)
((((0/9)-5)+(7/(2*5)))/((1/(0*1))-((3*5)+2)))	(/(+(-(/09)5)(/7(*25)))(-(/1(*01))(+(*35)2)))	((((09/)5-)(7(25*)/)+)((1(01*)/)((35*)2+)-)/)
((((6*2)+8)*(6+(5-5)))*((5-(8*7))+((8-9)-(3+1))))	(*(*(+(*62)8)(+6(-55)))(+(-5(*87))(-(-89)(+31))))	((((62*)8+)(6(55-)+)*)((5(87*)-)((89-)(31+)-)+)*)
((((0/0)/4)*(5*(0/8)))/(((9+0)+6)/0))	(/(*(/(/00)4)(*5(/08)))(/(+(+90)6)0))	((((00/)4/)(5(08/)*)*)(((90+)6+)0/)/)
((((3-2)+7)/(5-(3-9)))-(((1+4)*0)/(5+6)))	(-(/(+(-32)7)(-5(-39)))(/(*(+14)0)(+56)))	((((32-)7+)(5(39-)-)/)(((14+)0*)(56+)/)-)
((((3-0)/1)*(2*(7*9)))*(((0+4)/3)+(7/(5-4))))	(*(*(/(-30)1)(*2(*79)))(+(/(+04)3)(/7(-54))))	((((30-)1/)(2(79*)*)*)(((04+)3/)(7(54-)/)+)*)
((((2+6)-5)*(2+(4+4)))-(((5-2)+7)*((0*5)+4)))	(-(*(-(+26)5)(+2(+44)))(*(+(-52)7)(+(*05)4)))	((((26+)5-)(2(44+)+)*)(((52-)7+)((05*)4+)*)-)
((((0-0)+7)/(8+(0/9)))/(((4+9)/0)/((8/8)-(9-9))))	(/(/(+(-00)7)(+8(/09)))(/(/(+49)0)(-(/88)(-99))))	((((00-)7+)(8(09/)+)/)(((49+)0/)((88/)(99-)-)/)/)
((((2-4)*2)-(9/(6*2)))*(((8/5)+(7/0))-1))	(*(-(*(-24)2)(/9(*62)))(-(+(/85)(/70))1))	((((24-)2*)(9(62*)/)-)(((85/)(70/)+)1-)*)
((((2/2)+2)/(6/(9*7)))*(((1-8)+(2/8))+(2/5)))	(*(/(+(/22)2)(/6(*97)))(+(+(-18)(/28))(/25)))	((((22/)2+)(6(97*)/)/)(((18-)(28/)+)(25/)+)*)
((((8+7)*7)/(7-(0-2)))*(((4+5)-(8/9))-(5/(8/5))))	(*(/(*(+87)7)(-7(-02)))(-(-(+45)(/89))(/5(/85))))	((((87+)7*)(7(02-)-)/)(((45+)(89/)-)(5(85/)/)-)*)
((((5*9)*7)-(8*(1-5)))*(((0-4)/(5*5))*((3/7)-5)))	(*(-(*(*59)7)(*8(-15)))(*(/(-04)(*55))(-(/37)5)))	((((59*)7*)(8(15-)*)-)(((04-)(55*)/)((37/)5-)*)*)
((((1-1)/4)+(6+(4*4)))*(((8+1)-(8/7))/((5-9)-(4/7))))	(*(+(/(-11)4)(+6(*44)))(/(-(+81)(/87))(-(-59)(/47))))	((((11-)4/)(6(44*)+)+)(((81+)(87/)-)((59-)(47/)-)/)*)
((((7+6)-3)*((7/0)-4))/2)	(/(*(-(+76)3)(-(/70)4))2)	((((76+)3-)((70/)4-)*)2/)
((((6-5)+0)+((6*9)/3))/(0+5))	(/(+(+(-65)0)(/(*69)3))(+05))	((((65-)0+)((69*)3/)+)(05+)/)
((((0/9)-8)-((3+1)+0))/(6+(0+7)))	(/(-(-(/09)8)(+(+31)0))(+6(+07)))	((((09/)8-)((31+)0+)-)(6(07+)+)/)
((((1/2)/0)+((7/3)+9))*(1-(5+(2+2))))	(*(+(/(/12)0)(+(/73)9))(-1(+5(+22))))	((((12/)0/)((73/)9+)+)(1(5(22+)+)-)*)
((((4/0)*6)/((9+9)-1))*(5/((9-0)+0)))	(*(/(*(/40)6)(-(+99)1))(/5(+(-90)0)))	((((40/)6*)((99+)1-)/)(5((90-)0+)/)*)
((((8-2)+9)*((3-4)+8))*(2-((5-5)-(9+9))))	(*(*(+(-82)9)(+(-34)8))(-2(-(-55)(+99))))	((((82-)9+)((34-)8+)*)(2((55-)(99+)-)-)*)
((((7+0)+6)+((1+9)/0))+((1-8)*1))	(+(+(+(+70)6)(/(+19)0))(*(-18)1))	((((70+)6+)((19+)0/)+)((18-)1*)+)
((((0+7)+6)-((6/3)-4))-((9*4)/(5/9)))	(-(-(+(+07)6)(-(/63)4))(/(*94)(/59)))	((((07+)6+)((63/)4-)-)((94*)(59/)/)-)
((((1-3)+1)/((4/6)-1))*((1/8)+(0/(9*8))))	(*(/(+(-13)1)(-(/46)1))(+(/18)(/0(*98))))	((((13-)1+)((46/)1-)/)((18/)(0(98*)/)+)*)
((((1-3)+2)-((2/5)+0))+((2-2)*((5*7)*9)))	(+(-(+(-13)2)(+(/25)0))(*(-22)(*(*57)9)))	((((13-)2+)((25/)0+)-)((22-)((57*)9*)*)+)
((((7-6)/2)/((1-3)+2))*((4-7)+((1-2)-(1+6))))	(*(/(/(-76)2)(+(-13)2))(+(-47)(-(-12)(+16))))	((((76-)2/)((13-)2+)/)((47-)((12-)(16+)-)+)*)
((((0*9)-0)*((7*0)-5))-((0*(7+5))*4))	(-(*(-(*09)0)(-(*70)5))(*(*0(+75))4))	((((09*)0-)((70*)5-)*)((0(75+)*)4*)-)
((((4+2)+5)/((6+3)/1))/((0+(3/2))+(0-9)))	(/(/(+(+42)5)(/(+63)1))(+(+0(/32))(-09)))	((((42+)5+)((63+)1/)/)((0(32/)+)(09-)+)/)
((((1-2)-2)/((5-4)/3))+((1*(4+0))+(9/(0/6))))	(+(/(-(-12)2)(/(-54)3))(+(*1(+40))(/9(/06))))	((((12-)2-)((54-)3/)/)((1(40+)*)(9(06/)/)+)+)
((((5-3)/5)*((4-8)/0))/((1/(2*9))*((9-3)+6)))	(/(*(/(-53)5)(/(-48)0))(*(/1(*29))(+(-93)6)))	((((53-)5/)((48-)0/)*)((1(29*)/)((93-)6+)*)/)
((((7-0)-6)*((4/3)-7))/((0+(9/4))+((0+5)+(3*9))))	(/(*(-(-70)6)(-(/43)7))(+(+0(/94))(+(+05)(*39))))	((((70-)6-)((43/)7-)*)((0(94/)+)((05+)(39*)+)+)/)
((((9/2)/2)+((3/2)-0))/(((8+7)+8)+3))	(/(+(/(/92)2)(-(/32)0))(+(+(+87)8)3))	((((92/)2/)((32/)0-)+)(((87+)8+)3+)/)
((((0*2)+7)/((2/0)-6))-(((6-3)*9)*(1*1)))	(-(/(+(*02)7)(-(/20)6))(*(*(-63)9)(*11)))	((((02*)7+)((20/)6-)/)(((63-)9*)(11*)*)-)
((((2*4)/7)*((4*7)+3))+(((4+7)-2)+(7*(9*9))))	(+(*(/(*24)7)(+(*47)3))(+(-(+47)2)(*7(*99))))	((((24*)7/)((47*)3+)*)(((47+)2-)(7(99*)*)+)+)
((((4+5)*8)/((6+1)/5))/(((5-2)-9)/((7*5)+9)))	(/(/(*(+45)8)(/(+61)5))(/(-(-52)9)(+(*75)9)))	((((45+)8*)((61+)5/)/)(((52-)9-)((75*)9+)/)/)
((((5/6)-9)-((6/5)-7))-(((0+6)+5)+((6+1)/(9-8))))	(-(-(-(/56)9)(-(/65)7))(+(+(+06)5)(/(+61)(-98))))	((((56/)9-)((65/)7-)-)(((06+)5+)((61+)(98-)/)+)-)
((((2/9)+4)*((1*3)/9))/(((2*2)/(8-0))*2))	(/(*(+(/29)4)(/(*13)9))(*(/(*22)(-80))2))	((((29/)4+)((13*)9/)*)(((22*)(80-)/)2*)/)
((((9-1)/1)*((6/7)-9))*(((8*7)*(1*3))*(8*9)))	(*(*(/(-91)1)(-(/67)9))(*(*(*87)(*13))(*89)))	((((91-)1/)((67/)9-)*)(((87*)(13*)*)(89*)*)*)
((((3/7)-1)+((2*9)*4))*(((9+9)-(8/0))-(4/(3-2))))	(*(+(-(/37)1)(*(*29)4))(-(-(+99)(/80))(/4(-32))))	((((37/)1-)((29*)4*)+)(((99+)(80/)-)(4(32-)/)-)*)
((((3+9)*0)/((6/9)+0))-(((9-8)*(8-2))-((9-4)+1)))	(-(/(*(+39)0)(+(/69)0))(-(*(-98)(-82))(+(-94)1)))	((((39+)0*)((69/)0+)/)(((98-)(82-)*)((94-)1+)-)-)
((((4/7)/5)/((8/6)-3))+(((5*0)+(3/4))-((8+4)-(3-2))))	(+(/(/(/47)5)(-(/86)3))(-(+(*50)(/34))(-(+84)(-32))))	((((47/)5/)((86/)3-)/)(((50*)(34/)+)((84+)(32-)-)-)+)
((((4+5)*2)*((3*9)-(9*1)))+4)	(+(*(*(+45)2)(-(*39)(*91)))4)	((((45+)2*)((39*)(91*)-)*)4+)
((((9/4)*4)/((5*1)+(3/7)))+(1/3))	(+(/(*(/94)4)(+(*51)(/37)))(/13))	((((94/)4*)((51*)(37/)+)/)(13/)+)
((((3-8)*5)-((1-5)/(4-3)))/(3+(7*4)))	(/(-(*(-38)5)(/(-15)(-43)))(+3(*74)))	((((38-)5*)((15-)(43-)/)-)(3(74*)+)/)
((((3/1)/7)/((5+5)/(8*1)))/(4/(5*(6/9))))	(/(/(/(/31)7)(/(+55)(*81)))(/4(*5(/69))))	((((31/)7/)((55+)(81*)/)/)(4(5(69/)*)/)/)
((((4+1)-8)+((4/9)/(2/5)))/(7+((7/2)-4)))	(/(+(-(+41)8)(/(/49)(/25)))(+7(-(/72)4)))	((((41+)8-)((49/)(25/)/)+)(7((72/)4-)+)/)
((((5-6)+4)*((3*2)*(0-3)))-(7*((4/9)+(7/0))))	(-(*(+(-56)4)(*(*32)(-03)))(*7(+(/49)(/70))))	((((56-)4+)((32*)(03-)*)*)(7((49/)(70/)+)*)-)
((((6+4)*0)-((0-0)*(7+9)))+((5-4)/0))	(+(-(*(+64)0)(*(-00)(+79)))(/(-54)0))	((((64+)0*)((00-)(79+)*)-)((54-)0/)+)
((((5+9)+0)*((5*9)-(0-3)))*((6+4)/(1/7)))	(*(*(+(+59)0)(-(*59)(-03)))(/(+64)(/17)))	((((59+)0+)((59*)(03-)-)*)((64+)(17/)/)*)
((((0-4)-8)*((8-3)-(2/5)))/((8/8)+(7-(9*9))))	(/(*(-(-04)8)(-(-83)(/25)))(+(/88)(-7(*99))))	((((04-)8-)((83-)(25/)-)*)((88/)(7(99*)-)+)/)
((((8/2)/4)+((2*3)*(1/7)))*((9*0)-((1+3)-6)))	(*(+(/(/82)4)(*(*23)(/17)))(-(*90)(-(+13)6)))	((((82/)4/)((23*)(17/)*)+)((90*)((13+)6-)-)*)
((((8/5)*2)-((2/6)*(4+2)))/((8*3)/((0/9)/(4+6))))	(/(-(*(/85)2)(*(/26)(+42)))(/(*83)(/(/09)(+46))))	((((85/)2*)((26/)(42+)*)-)((83*)((09/)(46+)/)/)/)
((((8-4)*5)*((9+3)/(1-1)))+((6+(9/1))/1))	(+(*(*(-84)5)(/(+93)(-11)))(/(+6(/91))1))	((((84-)5*)((93+)(11-)/)*)((6(91/)+)1/)+)
((((7*0)*5)-((3/3)+(3+4)))+((3/(0+8))*(5/9)))	(+(-(*(*70)5)(+(/33)(+34)))(*(/3(+08))(/59)))	((((70*)5*)((33/)(34+)+)-)((3(08+)/)(59/)*)+)
((((6*2)+4)+((0/9)/(8*7)))-((8/(6-3))*(8-(0*7))))	(-(+(+(*62)4)(/(/09)(*87)))(*(/8(-63))(-8(*07))))	((((62*)4+)((09/)(87*)/)+)((8(63-)/)(8(07*)-)*)-)
((((3*1)+1)+((6-4)*(1-2)))*((0+(8+6))-((2*8)-4)))	(*(+(+(*31)1)(*(-64)(-12)))(-(+0(+86))(-(*28)4)))	((((31*)1+)((64-)(12-)*)+)((0(86+)+)((28*)4-)-)*)
((((9+1)-2)/((6-2)+(7+8)))-((4*(7/6))*((9/5)*(8+2))))	(-(/(-(+91)2)(+(-62)(+78)))(*(*4(/76))(*(/95)(+82))))	((((91+)2-)((62-)(78+)+)/)((4(76/)*)((95/)(82+)*)*)-)
((((1*7)/8)-((1/8)*(5+5)))*(((1/3)/5)/6))	(*(-(/(*17)8)(*(/18)(+55)))(/(/(/13)5)6))	((((17*)8/)((18/)(55+)*)-)(((13/)5/)6/)*)
((((4/9)-2)*((1+7)-(6-5)))*(((3/6)/3)+(3-5)))	(*(*(-(/49)2)(-(+17)(-65)))(+(/(/36)3)(-35)))	((((49/)2-)((17+)(65-)-)*)(((36/)3/)(35-)+)*)
((((2*7)*8)/((1+6)/(5-9)))/(((1+5)*6)+(7/(9-6))))	(/(/(*(*27)8)(/(+16)(-59)))(+(*(+15)6)(/7(-96))))	((((27*)8*)((16+)(59-)/)/)(((15+)6*)(7(96-)/)+)/)
((((1*7)/1)+((6*1)-(7/3)))/(((1*6)*1)-((2*2)-0)))	(/(+(/(*17)1)(-(*61)(/73)))(-(*(*16)1)(-(*22)0)))	((((17*)1/)((61*)(73/)-)+)(((16*)1*)((22*)0-)-)/)
((((5+3)/2)+((9*9)-(2-9)))/(((9-4)*6)-((0*9)*(3/3))))	(/(+(/(+53)2)(-(*99)(-29)))(-(*(-94)6)(*(*09)(/33))))	((((53+)2/)((99*)(29-)-)+)(((94-)6*)((09*)(33/)*)-)/)
((((8-0)*6)+((2/0)+(7*2)))-(((4+3)+(4-5))*2))	(-(+(*(-80)6)(+(/20)(*72)))(*(+(+43)(-45))2))	((((80-)6*)((20/)(72*)+)+)(((43+)(45-)+)2*)-)
((((9/7)*8)/((9+7)/(6+0)))/(((9/2)*(3*6))-(5/1)))	(/(/(*(/97)8)(/(+97)(+60)))(-(*(/92)(*36))(/51)))	((((97/)8*)((97+)(60+)/)/)(((92/)(36*)*)(51/)-)/)
((((5+1)+4)/((5-4)-(0/6)))-(((7-9)-(3+3))-(4-(7/7))))	(-(/(+(+51)4)(-(-54)(/06)))(-(-(-79)(+33))(-4(/77))))	((((51+)4+)((54-)(06/)-)/)(((79-)(33+)-)(4(77/)-)-)-)
((((2-1)/2)/((1*1)*(1-0)))*(((5/3)-(2/8))*((3-5)*2)))	(*(/(/(-21)2)(*(*11)(-10)))(*(-(/53)(/28))(*(-35)2)))	((((21-)2/)((11*)(10-)*)/)(((53/)(28/)-)((35-)2*)*)*)
((((6*5)*7)-((9/4)-(2*2)))/(((4+0)+(2-3))-((7+0)*(4*2))))	(/(-(*(*65)7)(-(/94)(*22)))(-(+(+40)(-23))(*(+70)(*42))))	((((65*)7*)((94/)(22*)-)-)(((40+)(23-)+)((70+)(42*)*)-)/)
((((3*8)+(9-7))+0)+9)	(+(+(+(*38)(-97))0)9)	((((38*)(97-)+)0+)9+)
((((7+2)+(3-5))+1)/(5*6))	(/(+(+(+72)(-35))1)(*56))	((((72+)(35-)+)1+)(56*)/)
((((3+1)*(6*8))*6)/(7*(3+5)))	(/(*(*(+31)(*68))6)(*7(+35)))	((((31+)(68*)*)6*)(7(35+)*)/)
((((5/2)/(6+1))*6)*(4-(6+(8*3))))	(*(*(/(/52)(+61))6)(-4(+6(*83))))	((((52/)(61+)/)6*)(4(6(83*)+)-)*)
((((1/0)*(4*1))/1)-(0+((5+6)+3)))	(-(/(*(/10)(*41))1)(+0(+(+56)3)))	((((10/)(41*)*)1/)(0((56+)3+)+)-)
((((9-8)/(7*3))+9)-(2*((8+5)/(6-6))))	(-(+(/(-98)(*73))9)(*2(/(+85)(-66))))	((((98-)(73*)/)9+)(2((85+)(66-)/)*)-)
((((9/2)/(1-5))+0)/((9-1)*1))	(/(+(/(/92)(-15))0)(*(-91)1))	((((92/)(15-)/)0+)((91-)1*)/)
((((4*5)/(7*4))+3)*((8*1)-(8*5)))	(*(+(/(*45)(*74))3)(-(*81)(*85)))	((((45*)(74*)/)3+)((81*)(85*)-)*)
((((7+7)/(6*7))*9)+((9-3)+(6/(6-5))))	(+(*(/(+77)(*67))9)(+(-93)(/6(-65))))	((((77+)(67*)/)9*)((93-)(6(65-)/)+)+)
((((3-6)+(9-6))+5)*((3-6)*((3+4)*8)))	(*(+(+(-36)(-96))5)(*(-36)(*(+34)8)))	((((36-)(96-)+)5+)((36-)((34+)8*)*)*)
((((8*5)-(1*0))+8)*((8+4)/((9-1)+(9*7))))	(*(+(-(*85)(*10))8)(/(+84)(+(-91)(*97))))	((((85*)(10*)-)8+)((84+)((91-)(97*)+)/)*)
((((8-5)-(6/8))*2)*((3*(3+3))*4))	(*(*(-(-85)(/68))2)(*(*3(+33))4))	((((85-)(68/)-)2*)((3(33+)*)4*)*)
((((9+1)-(9*5))-0)/((9/(9*7))-(7+2)))	(/(-(-(+91)(*95))0)(-(/9(*97))(+72)))	((((91+)(95*)-)0-)((9(97*)/)(72+)-)/)
((((0*3)+(6-0))/9)+((4*(0/7))+(1-(6/5))))	(+(/(+(*03)(-60))9)(+(*4(/07))(-1(/65))))	((((03*)(60-)+)9/)((4(07/)*)(1(65/)-)+)+)
((((8-8)*(5/2))/3)*((2+(4*8))/((7*9)*5)))	(*(/(*(-88)(/52))3)(/(+2(*48))(*(*79)5)))	((((88-)(52/)*)3/)((2(48*)+)((79*)5*)/)*)
((((8*7)*(0/3))+6)*((1*(5*6))-((4+7)/(4*5))))	(*(+(*(*87)(/03))6)(-(*1(*56))(/(+47)(*45))))	((((87*)(03/)*)6+)((1(56*)*)((47+)(45*)/)-)*)
((((3+2)+(1/3))+1)+(((2*7)*7)/5))	(+(+(+(+32)(/13))1)(/(*(*27)7)5))	((((32+)(13/)+)1+)(((27*)7*)5/)+)
((((5*0)+(1*1))+0)-(((1-3)/4)+(8-7)))	(-(+(+(*50)(*11))0)(+(/(-13)4)(-87)))	((((50*)(11*)+)0+)(((13-)4/)(87-)+)-)
((((7*3)/(6+6))-0)*(((6*5)/1)*(5/(5+1))))	(*(-(/(*73)(+66))0)(*(/(*65)1)(/5(+51))))	((((73*)(66+)/)0-)(((65*)1/)(5(51+)/)*)*)
((((4-0)-(7-0))/1)+(((5+2)-4)-((4/3)-0)))	(+(/(-(-40)(-70))1)(-(-(+52)4)(-(/43)0)))	((((40-)(70-)-)1/)(((52+)4-)((43/)0-)-)+)
((((8*9)+(8*5))/9)+(((1+4)/0)/((2-5)+(9/5))))	(+(/(+(*89)(*85))9)(/(/(+14)0)(+(-25)(/95))))	((((89*)(85*)+)9/)(((14+)0/)((25-)(95/)+)/)+)
((((6+6)/(0*1))*2)-(((3/2)*(7+4))*9))	(-(*(/(+66)(*01))2)(*(*(/32)(+74))9))	((((66+)(01*)/)2*)(((32/)(74+)*)9*)-)
((((9-6)-(5+2))*2)+(((9-5)/(5-6))+(9+9)))	(+(*(-(-96)(+52))2)(+(/(-95)(-56))(+99)))	((((96-)(52+)-)2*)(((95-)(56-)/)(99+)+)+)
((((7-4)/(4/8))*1)/(((3+2)-(0*1))+(6/(4*5))))	(/(*(/(-74)(/48))1)(+(-(+32)(*01))(/6(*45))))	((((74-)(48/)/)1*)(((32+)(01*)-)(6(45*)/)+)/)
((((0+5)/(5/0))/5)/(((2/0)-(4*7))+((0-4)+4)))	(/(/(/(+05)(/50))5)(+(-(/20)(*47))(+(-04)4)))	((((05+)(50/)/)5/)(((20/)(47*)-)((04-)4+)+)/)
((((9/6)+(4-1))*2)-(((3*0)*(0-0))-((3-1)/(5+2))))	(-(*(+(/96)(-41))2)(-(*(*30)(-00))(/(-31)(+52))))	((((96/)(41-)+)2*)(((30*)(00-)*)((31-)(52+)/)-)-)
((((4-3)*(0+0))/(5-3))*7)	(*(/(*(-43)(+00))(-53))7)	((((43-)(00+)*)(53-)/)7*)
((((9+6)*(5+6))+(1+6))*(7-3))	(*(+(*(+96)(+56))(+16))(-73))	((((96+)(56+)*)(16+)+)(73-)*)
((((7+3)*(5+0))+(9+9))/(4/(9/3)))	(/(+(*(+73)(+50))(+99))(/4(/93)))	((((73+)(50+)*)(99+)+)(4(93/)/)/)
((((7/9)+(1-3))+(8-2))+(3*(8+(4+5))))	(+(+(+(/79)(-13))(-82))(*3(+8(+45))))	((((79/)(13-)+)(82-)+)(3(8(45+)+)*)+)
((((5/5)-(9*4))/(2*9))-(0+((5/2)/3)))	(-(/(-(/55)(*94))(*29))(+0(/(/52)3)))	((((55/)(94*)-)(29*)/)(0((52/)3/)+)-)
((((6*7)-(0-0))+(6+2))/(8-((8-3)*(9/1))))	(/(+(-(*67)(-00))(+62))(-8(*(-83)(/91))))	((((67*)(00-)-)(62+)+)(8((83-)(91/)*)-)/)
((((5-5)-(7*4))+(0/0))+((2*3)+9))	(+(+(-(-55)(*74))(/00))(+(*23)9))	((((55-)(74*)-)(00/)+)((23*)9+)+)
((((0/7)*(3/4))-(3+4))-((5+9)/(7+0)))	(-(-(*(/07)(/34))(+34))(/(+59)(+70)))	((((07/)(34/)*)(34+)-)((59+)(70+)/)-)
((((6+9)+(1*6))+(4+2))/((9*1)-(3/(0+8))))	(/(+(+(+69)(*16))(+42))(-(*91)(/3(+08))))	((((69+)(16*)+)(42+)+)((91*)(3(08+)/)-)/)
((((4*9)/(9/6))*(3+9))+((6+8)/((2*1)+7)))	(+(*(/(*49)(/96))(+39))(/(+68)(+(*21)7)))	((((49*)(96/)/)(39+)*)((68+)((21*)7+)/)+)
((((0-1)+(4*6))/(6-4))-((1+0)+((5+3)-(0+3))))	(-(/(+(-01)(*46))(-64))(+(+10)(-(+53)(+03))))	((((01-)(46*)+)(64-)/)((10+)((53+)(03+)-)+)-)
((((6-8)*(2*1))/(7+4))*((9+(0/9))-9))	(*(/(*(-68)(*21))(+74))(-(+9(/09))9))	((((68-)(21*)*)(74+)/)((9(09/)+)9-)*)
((((7/9)*(0/1))/(8-8))/((8/(3*3))+(1+4)))	(/(/(*(/79)(/01))(-88))(+(/8(*33))(+14)))	((((79/)(01/)*)(88-)/)((8(33*)/)(14+)+)/)
((((7-8)*(5-7))/(8-3))-((6*(2-3))/(3-(2-8))))	(-(/(*(-78)(-57))(-83))(/(*6(-23))(-3(-28))))	((((78-)(57-)*)(83-)/)((6(23-)*)(3(28-)-)/)-)
((((1-1)-(0/1))+(0/1))-((2/(5-7))*((1+1)+9)))	(-(+(-(-11)(/01))(/01))(*(/2(-57))(+(+11)9)))	((((11-)(01/)-)(01/)+)((2(57-)/)((11+)9+)*)-)
((((3+1)+(4*1))+(6/9))/((3-(1*6))+((2*1)/(6+4))))	(/(+(+(+31)(*41))(/69))(+(-3(*16))(/(*21)(+64))))	((((31+)(41*)+)(69/)+)((3(16*)-)((21*)(64+)/)+)/)
((((7+6)+(0*1))/(3*2))+(((1/5)*7)+3))	(+(/(+(+76)(*01))(*32))(+(*(/15)7)3))	((((76+)(01*)+)(32*)/)(((15/)7*)3+)+)
((((3*5)+(9-4))/(2/4))/(((8/0)*5)-(8-6)))	(/(/(+(*35)(-94))(/24))(-(*(/80)5)(-86)))	((((35*)(94-)+)(24/)/)(((80/)5*)(86-)-)/)
((((8*5)+(6/0))*(1+7))*(((6+2)-5)/(6*(6-9))))	(*(*(+(*85)(/60))(+17))(/(-(+62)5)(*6(-69))))	((((85*)(60/)+)(17+)*)(((62+)5-)(6(69-)*)/)*)
((((4+6)+(8-6))-(1*2))/(((3/4)+7)-((3-9)+9)))	(/(-(+(+46)(-86))(*12))(-(+(/34)7)(+(-39)9)))	((((46+)(86-)+)(12*)-)(((34/)7+)((39-)9+)-)/)
((((6-2)-(0*3))/(1/6))+(((5+3)*8)-((4*1)+(8-2))))	(+(/(-(-62)(*03))(/16))(-(*(+53)8)(+(*41)(-82))))	((((62-)(03*)-)(16/)/)(((53+)8*)((41*)(82-)+)-)+)
((((5/1)*(7*6))+(7/7))*(((8*9)/(3+6))+2))	(*(+(*(/51)(*76))(/77))(+(/(*89)(+36))2))	((((51/)(76*)*)(77/)+)(((89*)(36+)/)2+)*)
((((7/2)*(0+0))-(1-7))/(((0-1)-(7/7))/(0/3)))	(/(-(*(/72)(+00))(-17))(/(-(-01)(/77))(/03)))	((((72/)(00+)*)(17-)-)(((01-)(77/)-)(03/)/)/)
((((9+7)*(4/4))/(4-0))/(((7*4)/(5*1))*(9+(0/7))))	(/(/(*(+97)(/44))(-40))(*(/(*74)(*51))(+9(/07))))	((((97+)(44/)*)(40-)/)(((74*)(51*)/)(9(07/)+)*)/)
((((0*7)*(2-7))*(9+1))-(((7*9)+(6*4))*((1/7)+1)))	(-(*(*(*07)(-27))(+91))(*(+(*79)(*64))(+(/17)1)))	((((07*)(27-)*)(91+)*)(((79*)(64*)+)((17/)1+)*)-)
((((9*6)/(3-4))/(6+7))*(((4+7)/(6*4))+((6/1)+(7-0))))	(*(/(/(*96)(-34))(+67))(+(/(+47)(*64))(+(/61)(-70))))	((((96*)(34-)/)(67+)/)(((47+)(64*)/)((61/)(70-)+)+)*)
((((2-9)/(6*7))+(9-(0*9)))*3)	(*(+(/(-29)(*67))(-9(*09)))3)	((((29-)(67*)/)(9(09*)-)+)3*)
((((7/3)*(1*2))*(6/(2*1)))/(6+0))	(/(*(*(/73)(*12))(/6(*21)))(+60))	((((73/)(12*)*)(6(21*)/)*)(60+)/)
((((5+3)+(5+8))+(9+(5*9)))-(9+(7+1)))	(-(+(+(+53)(+58))(+9(*59)))(+9(+71)))	((((53+)(58+)+)(9(59*)+)+)(9(71+)+)-)
((((3+4)-(1-5))*(8-(7*3)))*(9+(7+(9/0))))	(*(*(-(+34)(-15))(-8(*73)))(+9(+7(/90))))	((((34+)(15-)-)(8(73*)-)*)(9(7(90/)+)+)*)
((((9-0)-(2/6))/(8-(7*2)))+(3/((9*5)*8)))	(+(/(-(-90)(/26))(-8(*72)))(/3(*(*95)8)))	((((90-)(26/)-)(8(72*)-)/)(3((95*)8*)/)+)
((((5+8)*(9*5))*(9*(5-8)))+(5*((1-0)-(5-4))))	(+(*(*(+58)(*95))(*9(-58)))(*5(-(-10)(-54))))	((((58+)(95*)*)(9(58-)*)*)(5((10-)(54-)-)*)+)
((((3+0)/(8+4))-(3+(1*2)))+((3+4)/0))	(+(-(/(+30)(+84))(+3(*12)))(/(+34)0))	((((30+)(84+)/)(3(12*)+)-)((34+)0/)+)
((((8+4)/(9-2))/(8-(6-6)))+((4*1)+(3-3)))	(+(/(/(+84)(-92))(-8(-66)))(+(*41)(-33)))	((((84+)(92-)/)(8(66-)-)/)((41*)(33-)+)+)
